refNumber	gameDate	homeTeam	awayTeam
12	2013-11-22	SAS	MEM
38	2013-11-22	MIN	BKN
77	2013-11-22	NOH	CLE
15	2013-11-22	DAL	UTA
44	2013-11-22	POR	CHI
6	2013-11-22	LAL	GSW
65	2013-11-23	LAC	SAC
25	2013-11-23	IND	PHI
17	2013-11-23	WAS	NYK
7	2013-11-23	BOS	ATL
66	2013-11-23	MIA	ORL
20	2013-11-23	HOU	MIN
60	2013-11-23	CHA	MIL
10	2013-11-23	SAS	CLE
58	2013-11-23	DEN	DAL
55	2013-11-23	POR	GSW
14	2013-11-24	DET	BKN
68	2013-11-24	LAC	CHI
74	2013-11-24	PHX	ORL
15	2013-11-24	OKC	UTA
29	2013-11-24	LAL	SAC
60	2013-11-25	BOS	CHA
8	2013-11-25	IND	MIN
56	2013-11-25	DET	MIL
29	2013-11-25	MIA	PHX
19	2013-11-25	HOU	MEM
20	2013-11-25	DEN	DAL
24	2013-11-25	SAS	NOH
22	2013-11-25	UTA	CHI
71	2013-11-25	POR	NYK
49	2013-11-26	BKN	TOR
49	2013-11-26	WAS	LAL
24	2013-11-26	ORL	ATL
8	2013-11-26	GSW	NOH
17	2013-11-27	IND	CHA
33	2013-11-27	ORL	PHI
31	2013-11-27	MEM	BOS
74	2013-11-27	LAL	BKN
23	2013-11-27	MIA	CLE
42	2013-11-27	CHI	DET
32	2013-11-27	HOU	ATL
14	2013-11-27	WAS	MIL
12	2013-11-27	DEN	MIN
24	2013-11-27	OKC	SAS
27	2013-11-27	DAL	GSW
15	2013-11-27	PHX	POR
13	2013-11-27	LAC	NYK
63	2013-11-29	CHA	MIL
10	2013-11-29	SAS	ORL
16	2013-11-29	MIA	TOR
43	2013-11-29	ATL	DAL
35	2013-11-29	BOS	CLE
74	2013-11-29	LAL	DET
11	2013-11-29	HOU	BKN
10	2013-11-29	OKC	GSW
74	2013-11-29	IND	WAS
65	2013-11-29	NOH	PHI
17	2013-11-29	DEN	NYK
44	2013-11-29	PHX	UTA
25	2013-11-29	LAC	SAC
19	2013-11-30	WAS	ATL
23	2013-11-30	CLE	CHI
54	2013-11-30	BKN	MEM
18	2013-11-30	MIN	DAL
29	2013-11-30	HOU	SAS
45	2013-11-30	UTA	PHX
47	2013-11-30	MIL	BOS
26	2013-12-01	DEN	TOR
65	2013-12-01	IND	LAC
19	2013-12-01	DET	PHI
49	2013-12-01	GSW	SAC
58	2013-12-01	MIA	CHA
65	2013-12-01	OKC	MIN
36	2013-12-01	NOH	NYK
28	2013-12-01	POR	LAL
16	2013-12-02	WAS	ORL
17	2013-12-02	NOH	CHI
16	2013-12-02	SAS	ATL
14	2013-12-02	UTA	HOU
29	2013-12-02	POR	IND
52	2013-12-03	PHI	ORL
17	2013-12-03	BOS	MIL
33	2013-12-03	DEN	BKN
79	2013-12-03	DET	MIA
13	2013-12-03	MEM	PHX
11	2013-12-03	DAL	CHA
42	2013-12-03	OKC	SAC
14	2013-12-03	GSW	TOR
42	2013-12-04	CLE	DEN
34	2013-12-04	ATL	LAC
26	2013-12-04	PHX	HOU
11	2013-12-04	DET	MIL
40	2013-12-04	DAL	NOH
36	2013-12-04	IND	UTA
20	2013-12-04	POR	OKC
8	2013-12-05	NYK	BKN
50	2013-12-05	LAC	MEM
25	2013-12-05	CHI	MIA
19	2013-12-06	CHA	PHI
15	2013-12-06	MIL	WAS
15	2013-12-06	ATL	CLE
14	2013-12-06	BOS	DEN
15	2013-12-06	NYK	ORL
71	2013-12-06	HOU	GSW
38	2013-12-06	OKC	NOH
30	2013-12-06	PHX	TOR
17	2013-12-06	POR	UTA
15	2013-12-06	LAL	SAC
36	2013-12-07	DEN	PHI
77	2013-12-07	CLE	LAC
41	2013-12-07	DET	CHI
34	2013-12-07	GSW	MEM
26	2013-12-07	MIA	MIN
58	2013-12-07	BKN	MIL
46	2013-12-07	IND	SAS
7	2013-12-07	SAC	UTA
55	2013-12-07	DAL	POR
17	2013-12-08	BOS	NYK
50	2013-12-08	MIA	DET
47	2013-12-08	HOU	ORL
6	2013-12-08	OKC	IND
\N	2013-12-08	TOR	LAL
37	2013-12-09	CHA	GSW
6	2013-12-09	LAC	PHI
31	2013-12-09	DEN	WAS
15	2013-12-09	MEM	ORL
30	2013-12-09	POR	UTA
25	2013-12-09	SAC	DAL
77	2013-12-10	CLE	NYK
61	2013-12-10	IND	MIA
47	2013-12-10	SAS	TOR
35	2013-12-10	OKC	ATL
14	2013-12-10	BKN	BOS
13	2013-12-10	MIN	DET
49	2013-12-10	MIL	CHI
13	2013-12-10	PHX	LAL
22	2013-12-11	ORL	CHA
12	2013-12-11	LAC	BOS
49	2013-12-11	OKC	MEM
31	2013-12-11	SAS	MIL
22	2013-12-11	MIN	PHI
46	2013-12-11	NOH	DET
33	2013-12-11	NYK	CHI
60	2013-12-11	UTA	SAC
8	2013-12-11	GSW	DAL
24	2013-12-12	BKN	LAC
32	2013-12-12	POR	HOU
55	2013-12-13	IND	CHA
79	2013-12-13	CLE	ORL
\N	2013-12-13	TOR	PHI
72	2013-12-13	ATL	WAS
59	2013-12-13	BOS	NYK
17	2013-12-13	DET	BKN
46	2013-12-13	NOH	MEM
68	2013-12-13	OKC	LAL
27	2013-12-13	CHI	MIL
40	2013-12-13	SAS	MIN
43	2013-12-13	UTA	DEN
34	2013-12-13	PHX	SAC
16	2013-12-13	HOU	GSW
52	2013-12-14	LAL	CHA
15	2013-12-14	LAC	WAS
35	2013-12-14	MIA	CLE
43	2013-12-14	NYK	ATL
\N	2013-12-14	TOR	CHI
14	2013-12-14	POR	PHI
42	2013-12-14	DAL	MIL
15	2013-12-14	SAS	UTA
60	2013-12-15	SAC	HOU
50	2013-12-15	MIN	MEM
13	2013-12-15	POR	DET
52	2013-12-15	OKC	ORL
17	2013-12-15	DEN	NOH
14	2013-12-15	PHX	GSW
54	2013-12-16	DET	IND
27	2013-12-16	ATL	LAL
49	2013-12-16	BOS	MIN
76	2013-12-16	BKN	PHI
22	2013-12-16	MIA	UTA
71	2013-12-16	WAS	NYK
8	2013-12-16	ORL	CHI
31	2013-12-16	LAC	SAS
15	2013-12-17	CHA	SAC
22	2013-12-17	POR	CLE
30	2013-12-17	LAL	MEM
49	2013-12-17	OKC	DEN
76	2013-12-17	GSW	NOH
36	2013-12-18	MIA	IND
11	2013-12-18	UTA	ORL
42	2013-12-18	CHA	TOR
63	2013-12-18	ATL	SAC
55	2013-12-18	DET	BOS
52	2013-12-18	WAS	BKN
22	2013-12-18	NYK	MIL
73	2013-12-18	MIN	POR
29	2013-12-18	DAL	MEM
31	2013-12-18	SAS	PHX
20	2013-12-18	HOU	CHI
77	2013-12-18	LAC	NOH
66	2013-12-19	OKC	CHI
50	2013-12-19	SAS	GSW
40	2013-12-20	PHI	BKN
55	2013-12-20	ATL	UTA
10	2013-12-20	CLE	MIL
23	2013-12-20	CHA	DET
13	2013-12-20	MIA	SAC
68	2013-12-20	IND	HOU
\N	2013-12-20	TOR	DAL
27	2013-12-20	PHX	DEN
63	2013-12-20	LAL	MIN
44	2013-12-17	MEM	NYK
63	2013-12-17	WAS	BOS
17	2013-12-17	UTA	CHA
11	2013-12-17	SAC	ORL
7	2013-12-17	HOU	DET
54	2013-12-17	CHI	CLE
17	2013-12-17	MIL	PHI
17	2013-12-17	OKC	SAS
11	2013-12-17	PHX	DAL
72	2013-12-17	POR	NOH
7	2013-12-17	GSW	LAL
42	2013-12-17	LAC	DEN
23	2013-12-22	IND	BOS
\N	2013-12-22	TOR	OKC
19	2013-12-22	LAC	MIN
17	2013-12-23	CHA	MIL
27	2013-12-23	DET	CLE
13	2013-12-23	NYK	ORL
16	2013-12-23	IND	BKN
79	2013-12-23	MIA	ATL
44	2013-12-23	DAL	HOU
76	2013-12-23	MEM	UTA
13	2013-12-23	SAS	TOR
49	2013-12-23	GSW	DEN
58	2013-12-23	PHX	LAL
15	2013-12-23	NOH	SAC
24	2013-12-25	CHI	BKN
33	2013-12-25	OKC	NYK
59	2013-12-25	MIA	LAL
17	2013-12-25	HOU	SAS
74	2013-12-25	GSW	LAC
79	2013-12-26	ATL	CLE
41	2013-12-26	HOU	MEM
41	2013-12-26	SAS	DAL
65	2013-12-26	POR	LAC
10	2013-12-27	OKC	CHA
23	2013-12-27	ORL	DET
24	2013-12-27	BKN	MIL
\N	2013-12-27	TOR	NYK
15	2013-12-27	MIN	WAS
47	2013-12-27	NOH	DEN
22	2013-12-27	UTA	LAL
59	2013-12-27	SAC	MIA
72	2013-12-27	GSW	PHX
6	2013-12-28	BOS	CLE
11	2013-12-28	IND	BKN
\N	2013-12-28	TOR	NYK
56	2013-12-28	WAS	DET
16	2013-12-28	ATL	CHA
28	2013-12-28	DAL	CHI
18	2013-12-28	HOU	NOH
12	2013-12-28	MEM	DEN
23	2013-12-28	MIN	MIL
63	2013-12-28	PHX	PHI
11	2013-12-28	MIA	POR
49	2013-12-28	LAC	UTA
71	2013-12-29	GSW	CLE
10	2013-12-29	ORL	ATL
77	2013-12-29	OKC	HOU
32	2013-12-29	SAS	SAC
11	2013-12-29	PHI	LAL
70	2013-12-30	WAS	DET
18	2013-12-30	CHI	MEM
44	2013-12-30	DAL	MIN
7	2013-12-30	NOH	POR
6	2013-12-30	MIA	DEN
37	2013-12-30	UTA	CHA
74	2013-12-30	PHX	LAC
73	2013-12-31	ATL	BOS
65	2013-12-31	IND	CLE
25	2013-12-31	GSW	ORL
\N	2013-12-31	TOR	CHI
66	2013-12-31	SAC	HOU
6	2013-12-31	SAS	BKN
20	2013-12-31	POR	OKC
41	2013-12-31	MIL	LAL
20	2014-01-01	DAL	WAS
\N	2014-01-01	TOR	IND
40	2014-01-01	MIN	NOH
19	2014-01-01	PHI	DEN
28	2014-01-01	LAC	CHA
77	2014-01-02	CLE	ORL
24	2014-01-02	GSW	MIA
55	2014-01-02	CHI	BOS
26	2014-01-02	BKN	OKC
71	2014-01-02	NYK	SAS
28	2014-01-02	MEM	PHX
44	2014-01-02	UTA	MIL
24	2014-01-02	POR	CHA
11	2014-01-02	PHI	SAC
\N	2014-01-03	TOR	WAS
55	2014-01-03	GSW	ATL
20	2014-01-03	NOH	BOS
17	2014-01-03	HOU	NYK
54	2014-01-03	LAC	DAL
26	2014-01-03	DEN	MEM
16	2014-01-03	LAL	UTA
26	2014-01-04	IND	NOH
48	2014-01-04	MIA	ORL
6	2014-01-04	BKN	CLE
50	2014-01-04	CHI	ATL
61	2014-01-04	OKC	MIN
77	2014-01-04	SAS	LAC
34	2014-01-04	PHX	MIL
61	2014-01-04	PHI	POR
61	2014-01-04	CHA	SAC
17	2014-01-05	MEM	DET
54	2014-01-05	IND	CLE
50	2014-01-05	MIA	TOR
35	2014-01-05	GSW	WAS
33	2014-01-05	OKC	BOS
59	2014-01-05	NYK	DAL
77	2014-01-05	DEN	LAL
32	2014-01-06	MIN	PHI
40	2014-01-06	BKN	ATL
10	2014-01-06	LAC	ORL
41	2014-01-07	WAS	CHA
17	2014-01-07	CLE	PHI
29	2014-01-07	IND	TOR
47	2014-01-07	MIA	NOH
16	2014-01-07	NYK	DET
66	2014-01-07	CHI	PHX
30	2014-01-07	SAS	MEM
77	2014-01-07	GSW	MIL
55	2014-01-07	DAL	LAL
73	2014-01-07	DEN	BOS
41	2014-01-07	UTA	OKC
16	2014-01-07	SAC	POR
66	2014-01-08	SAS	DAL
\N	2014-01-08	TOR	DET
65	2014-01-08	ATL	IND
33	2014-01-08	BKN	GSW
40	2014-01-08	PHX	MIN
20	2014-01-08	WAS	NOH
6	2014-01-08	HOU	LAL
19	2014-01-08	POR	ORL
25	2014-01-08	LAC	BOS
56	2014-01-09	NYK	MIA
32	2014-01-09	DEN	OKC
14	2014-01-10	IND	WAS
25	2014-01-10	DET	PHI
19	2014-01-10	ATL	HOU
63	2014-01-10	MEM	PHX
18	2014-01-10	MIN	CHA
54	2014-01-10	DAL	NOH
15	2014-01-10	BKN	MIA
63	2014-01-10	CHI	MIL
60	2014-01-10	CLE	UTA
37	2014-01-10	SAC	ORL
16	2014-01-10	GSW	BOS
79	2014-01-10	LAC	LAL
\N	2014-01-11	TOR	BKN
33	2014-01-11	HOU	WAS
49	2014-01-11	DET	PHX
15	2014-01-11	NYK	PHI
8	2014-01-11	CHI	CHA
14	2014-01-11	OKC	MIL
13	2014-01-11	DAL	NOH
20	2014-01-11	DEN	ORL
59	2014-01-11	POR	BOS
31	2014-01-12	SAC	CLE
26	2014-01-12	MEM	ATL
61	2014-01-12	SAS	MIN
\N	2014-01-13	TOR	MIL
17	2014-01-13	HOU	BOS
33	2014-01-13	NYK	PHX
49	2014-01-13	WAS	CHI
72	2014-01-13	SAS	NOH
60	2014-01-13	DAL	ORL
28	2014-01-13	UTA	DEN
50	2014-01-14	CHA	NYK
20	2014-01-14	IND	SAC
25	2014-01-14	MEM	OKC
55	2014-01-14	CLE	LAL
14	2014-01-15	CHI	ORL
24	2014-01-15	PHI	CHA
44	2014-01-15	WAS	MIA
36	2014-01-15	BOS	TOR
30	2014-01-15	MEM	MIL
13	2014-01-15	SAC	MIN
41	2014-01-15	HOU	NOH
10	2014-01-15	SAS	UTA
73	2014-01-15	PHX	LAL
74	2014-01-15	POR	CLE
23	2014-01-15	DEN	GSW
22	2014-01-15	LAC	DAL
40	2014-01-16	IND	NYK
8	2014-01-16	BKN	ATL
16	2014-01-16	OKC	HOU
70	2014-01-17	LAC	NYK
73	2014-01-17	CHA	ORL
12	2014-01-17	MIA	PHI
\N	2014-01-17	TOR	MIN
28	2014-01-17	WAS	CHI
42	2014-01-17	LAL	BOS
61	2014-01-17	UTA	DET
49	2014-01-17	MEM	SAC
34	2014-01-17	POR	SAS
61	2014-01-17	CLE	DEN
52	2014-01-17	DAL	PHX
61	2014-01-17	OKC	GSW
26	2014-01-18	MIA	CHA
14	2014-01-18	IND	LAC
35	2014-01-18	DET	WAS
10	2014-01-18	CHI	PHI
12	2014-01-18	HOU	MIL
15	2014-01-18	MIN	UTA
13	2014-01-18	GSW	NOH
6	2014-01-18	POR	DAL
8	2014-01-19	LAL	TOR
30	2014-01-19	ORL	BOS
11	2014-01-19	OKC	SAC
40	2014-01-19	SAS	MIL
71	2014-01-19	PHX	DEN
8	2014-01-20	DAL	CLE
47	2014-01-20	LAC	DET
42	2014-01-20	CHA	TOR
17	2014-01-20	WAS	PHI
49	2014-01-20	BKN	NYK
20	2014-01-20	NOH	MEM
55	2014-01-20	ATL	MIA
65	2014-01-20	CHI	LAL
63	2014-01-20	HOU	POR
50	2014-01-20	IND	GSW
24	2014-01-17	BKN	ORL
16	2014-01-17	MIA	BOS
47	2014-01-17	SAC	NOH
25	2014-01-17	OKC	POR
35	2014-01-17	MIN	UTA
37	2014-01-22	CHA	LAC
41	2014-01-22	CHI	CLE
33	2014-01-22	ATL	ORL
\N	2014-01-22	TOR	DAL
6	2014-01-22	BOS	WAS
31	2014-01-22	PHI	NYK
10	2014-01-22	HOU	SAC
15	2014-01-22	MIL	DET
20	2014-01-22	PHX	IND
31	2014-01-22	OKC	SAS
10	2014-01-23	MIA	LAL
11	2014-01-23	POR	DEN
55	2014-01-24	ORL	LAL
\N	2014-01-24	TOR	PHI
52	2014-01-24	SAS	ATL
12	2014-01-24	OKC	BOS
58	2014-01-24	BKN	DAL
58	2014-01-24	CLE	MIL
26	2014-01-24	NOH	DET
68	2014-01-24	NYK	CHA
29	2014-01-24	LAC	CHI
60	2014-01-24	MEM	HOU
72	2014-01-24	WAS	PHX
14	2014-01-24	IND	SAC
72	2014-01-24	MIN	GSW
54	2014-01-25	CHI	CHA
68	2014-01-25	LAC	TOR
49	2014-01-25	OKC	PHI
76	2014-01-25	MEM	HOU
18	2014-01-25	ATL	MIL
36	2014-01-25	DEN	IND
15	2014-01-25	UTA	WAS
71	2014-01-25	POR	MIN
16	2014-01-26	MIA	SAS
66	2014-01-26	NYK	LAL
43	2014-01-26	NOH	ORL
73	2014-01-26	PHX	CLE
79	2014-01-26	BKN	BOS
14	2014-01-26	DAL	DET
26	2014-01-26	GSW	POR
20	2014-01-26	DEN	SAC
77	2014-01-27	PHX	PHI
\N	2014-01-27	TOR	BKN
58	2014-01-27	MIN	CHI
45	2014-01-27	LAC	MIL
48	2014-01-27	OKC	ATL
42	2014-01-27	UTA	SAC
60	2014-01-28	NOH	CLE
11	2014-01-28	DET	ORL
70	2014-01-28	NYK	BOS
13	2014-01-28	HOU	SAS
76	2014-01-28	MEM	POR
50	2014-01-28	WAS	GSW
7	2014-01-28	IND	LAL
54	2014-01-29	OKC	MIA
\N	2014-01-29	TOR	ORL
17	2014-01-29	PHI	BOS
44	2014-01-29	PHX	MIL
52	2014-01-29	MIN	NOH
27	2014-01-29	HOU	DAL
79	2014-01-29	CHA	DEN
32	2014-01-29	CHI	SAS
56	2014-01-29	MEM	SAC
8	2014-01-29	LAC	WAS
73	2014-01-30	PHX	IND
68	2014-01-30	NYK	CLE
31	2014-01-30	GSW	LAC
74	2014-01-31	ORL	MIL
33	2014-01-31	ATL	PHI
49	2014-01-31	MEM	MIN
41	2014-01-31	OKC	BKN
6	2014-01-31	DAL	SAC
\N	2014-01-31	TOR	DEN
56	2014-01-31	CHA	LAL
26	2014-01-31	GSW	UTA
49	2014-02-01	IND	BKN
31	2014-02-01	WAS	OKC
13	2014-02-01	ATL	MIN
16	2014-02-01	DET	PHI
34	2014-02-01	HOU	CLE
44	2014-02-01	MEM	MIL
46	2014-02-01	NOH	CHI
20	2014-02-01	SAS	SAC
14	2014-02-01	MIA	NYK
26	2014-02-01	PHX	CHA
17	2014-02-01	POR	TOR
50	2014-02-01	LAC	UTA
65	2014-02-02	BOS	ORL
12	2014-02-03	IND	ORL
17	2014-02-03	WAS	POR
38	2014-02-03	BKN	PHI
12	2014-02-03	MIA	DET
79	2014-02-03	MIL	NYK
60	2014-02-03	SAS	NOH
73	2014-02-03	OKC	MEM
22	2014-02-03	DAL	CLE
8	2014-02-03	DEN	LAC
\N	2014-02-03	TOR	UTA
72	2014-02-03	SAC	CHI
23	2014-02-04	IND	ATL
30	2014-02-04	MIN	LAL
70	2014-02-04	CHI	PHX
29	2014-02-04	CHA	GSW
58	2014-02-05	LAL	CLE
12	2014-02-05	BOS	PHI
7	2014-02-05	SAS	WAS
50	2014-02-05	POR	NYK
16	2014-02-05	HOU	PHX
11	2014-02-05	DAL	MEM
32	2014-02-05	NOH	ATL
71	2014-02-05	OKC	MIN
60	2014-02-05	ORL	DET
70	2014-02-05	DEN	MIL
58	2014-02-05	SAC	TOR
44	2014-02-05	MIA	LAC
7	2014-02-06	BKN	SAS
16	2014-02-06	GSW	CHI
41	2014-02-07	IND	POR
18	2014-02-07	ORL	OKC
10	2014-02-07	LAL	PHI
45	2014-02-07	CLE	WAS
72	2014-02-07	BOS	SAC
33	2014-02-07	DET	BKN
42	2014-02-07	NYK	DEN
44	2014-02-07	DAL	UTA
6	2014-02-07	NOH	MIN
63	2014-02-07	LAC	TOR
24	2014-02-08	SAS	CHA
8	2014-02-08	MEM	ATL
16	2014-02-08	DET	DEN
56	2014-02-08	POR	MIN
68	2014-02-08	HOU	MIL
14	2014-02-08	PHX	GSW
49	2014-02-08	UTA	MIA
33	2014-02-09	OKC	NYK
42	2014-02-09	CHI	LAL
22	2014-02-09	DAL	BOS
73	2014-02-09	BKN	NOH
74	2014-02-09	CLE	MEM
70	2014-02-09	ORL	IND
70	2014-02-09	WAS	SAC
40	2014-02-09	LAC	PHI
31	2014-02-10	IND	DEN
\N	2014-02-10	TOR	NOH
14	2014-02-10	DET	SAS
36	2014-02-10	BOS	MIL
16	2014-02-10	HOU	MIN
16	2014-02-10	GSW	PHI
14	2014-02-11	CHA	DAL
27	2014-02-11	CLE	SAC
12	2014-02-11	CHI	ATL
8	2014-02-11	MEM	WAS
46	2014-02-11	MIA	PHX
52	2014-02-11	OKC	POR
25	2014-02-11	UTA	LAL
10	2014-02-12	DAL	IND
46	2014-02-12	MEM	ORL
\N	2014-02-12	TOR	ATL
46	2014-02-12	SAS	BOS
56	2014-02-12	BKN	CHA
14	2014-02-12	CLE	DET
33	2014-02-12	SAC	NYK
32	2014-02-12	HOU	WAS
15	2014-02-12	NOH	MIL
16	2014-02-12	MIN	DEN
13	2014-02-12	UTA	PHI
48	2014-02-12	MIA	GSW
65	2014-02-12	LAC	POR
46	2014-02-13	CHI	BKN
35	2014-02-13	OKC	LAL
33	2014-02-18	IND	ATL
6	2014-02-18	CLE	PHI
\N	2014-02-18	TOR	WAS
15	2014-02-18	CHA	DET
44	2014-02-18	MEM	NYK
56	2014-02-18	MIL	ORL
33	2014-02-18	MIA	DAL
10	2014-02-18	PHX	DEN
6	2014-02-18	SAS	LAC
47	2014-02-19	CHA	DET
74	2014-02-19	CLE	ORL
55	2014-02-19	CHI	TOR
79	2014-02-19	WAS	ATL
74	2014-02-19	MIN	IND
56	2014-02-19	NYK	NOH
17	2014-02-19	PHX	BOS
59	2014-02-19	BKN	UTA
16	2014-02-19	SAS	POR
8	2014-02-19	GSW	SAC
7	2014-02-19	HOU	LAL
26	2014-02-20	DEN	MIL
28	2014-02-20	MIA	OKC
11	2014-02-20	GSW	HOU
23	2014-02-17	CHA	NOH
20	2014-02-17	ORL	NYK
42	2014-02-17	DAL	PHI
\N	2014-02-17	TOR	CLE
27	2014-02-17	DET	ATL
65	2014-02-17	CHI	DEN
14	2014-02-17	MEM	LAC
16	2014-02-17	PHX	SAS
50	2014-02-17	POR	UTA
12	2014-02-17	LAL	BOS
48	2014-02-22	CHA	MEM
30	2014-02-22	WAS	NOH
17	2014-02-22	ATL	NYK
71	2014-02-22	DAL	DET
42	2014-02-22	IND	MIL
79	2014-02-22	MIN	UTA
