company	team
Millercoors	DET
Millercoors	IND
Millercoors	LAC
Millercoors	MIL
Millercoors	OKC
Millercoors	ORL
Millercoors	PHI
Millercoors	WAS
Northwest Ford Stores	ATL
Northwest Ford Stores	BOS
Northwest Ford Stores	CLE
Northwest Ford Stores	GSW
Northwest Ford Stores	MIN
Northwest Ford Stores	OKC
Northwest Ford Stores	ORL
Northwest Ford Stores	PHI
Northwest Ford Stores	SAS
Northwest Ford Stores	WAS
Plains Capital Bank	BKN
Plains Capital Bank	BOS
Plains Capital Bank	CHI
Plains Capital Bank	CLE
Plains Capital Bank	DAL
Plains Capital Bank	NOH
Plains Capital Bank	OKC
Plains Capital Bank	PHX
Plains Capital Bank	POR
Plains Capital Bank	WAS
Riverwind	CHI
Riverwind	DAL
Riverwind	IND
Riverwind	LAC
Riverwind	LAL
Riverwind	MIN
Riverwind	NYK
Riverwind	ORL
Riverwind	SAS
Riverwind	TOR
Riverwind	UTA
Sandridge Energy	ATL
Sandridge Energy	CLE
Sandridge Energy	LAL
Sandridge Energy	MEM
Sandridge Energy	MIL
Sandridge Energy	ORL
Sandridge Energy	PHX
Sandridge Energy	SAC
Sandridge Energy	SAS
Silver Eagle Distributor	DEN
Silver Eagle Distributor	NOH
Silver Eagle Distributor	PHX
Silver Eagle Distributor	POR
Silver Eagle Distributor	SAS
Silver Eagle Distributor	TOR
Silver Eagle Distributor	WAS
Spirit Mountain Casino	CHI
Spirit Mountain Casino	CLE
Spirit Mountain Casino	DEN
Spirit Mountain Casino	HOU
Spirit Mountain Casino	LAC
Spirit Mountain Casino	MIL
Spirit Mountain Casino	NYK
Spirit Mountain Casino	OKC
State Farm Insurance	ATL
State Farm Insurance	BKN
State Farm Insurance	CHI
State Farm Insurance	LAL
State Farm Insurance	MIN
State Farm Insurance	PHX
SWBC	ATL
SWBC	DET
SWBC	HOU
SWBC	OKC
SWBC	ORL
SWBC	PHI
SWBC	SAC
SWBC	SAS
SWBC	TOR
SWBC	UTA
SWBC	WAS
Texas Ford Dealers	ATL
Texas Ford Dealers	BKN
Texas Ford Dealers	DAL
Texas Ford Dealers	DEN
Texas Ford Dealers	DET
Texas Ford Dealers	HOU
Texas Ford Dealers	IND
Texas Ford Dealers	NOH
Texas Ford Dealers	POR
TXU	CHI
TXU	DET
TXU	GSW
TXU	HOU
TXU	ORL
USAA	BKN
USAA	DAL
USAA	DEN
USAA	HOU
USAA	LAL
USAA	MIA
USAA	MIL
USAA	MIN
USAA	NYK
USAA	PHI
USAA	SAC
Valero	BKN
Valero	GSW
Valero	MIL
Valero	MIN
Valero	NOH
Valero	OKC
Valero	PHX
Valero	POR
Valero	TOR
Valero	UTA
Valero	WAS
Wells Fargo	BKN
Wells Fargo	CHA
Wells Fargo	CHI
Wells Fargo	MEM
Wells Fargo	PHI
